"","Prior","P1.Alg","P2.Alg","Time.Horizon","Agent.Alg","Market.Share.for.P1","P1.Regret","P2.Regret","Abs.Delta.Regret","Memory.Size"
"79","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0.00133333333333333,0.2,0.00640854472630172,0.193591455273698,1000
"80","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",8e-04,0.2,0.00692554043234587,0.193074459567654,1000
"81","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0.0601428571428571,0.0346793349168646,0.00711354309165529,0.0275657918252093,1000
"82","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0.2335,0.0107922912205567,0.00714938030006526,0.00364291092049146,1000
"83","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0.194583333333333,0.0107922912205567,0.00678737713398866,0.00400491408656806,1000
"84","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0.155666666666667,0.0107922912205567,0.00664824318989346,0.00414404803066326,1000
"85","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.0072,NA,1000
"86","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00713333333333332,NA,1000
"87","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00719999999999999,NA,1000
"88","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00705714285714288,NA,1000
"89","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00660000000000004,NA,1000
"90","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00656666666666672,NA,1000
"91","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00641333333333339,NA,1000
"92","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.0062,NA,1000
"93","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00699999999999999,NA,1000
"94","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00772,NA,1000
"95","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.0075714285714286,NA,1000
"96","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00718000000000005,NA,1000
"97","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00705000000000006,NA,1000
"98","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.0072133333333334,NA,1000
"99","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0.009,0.155555555555556,0.00544904137235116,0.150106514183204,1000
"100","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0.003,0.155555555555556,0.00635239050484787,0.149203165050708,1000
"101","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0.0018,0.155555555555556,0.00769384892807053,0.147861706627485,1000
"102","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0.00128571428571429,0.155555555555556,0.00703761979688173,0.148517935758674,1000
"103","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",9e-04,0.155555555555556,0.00706635972375142,0.148489195831804,1000
"104","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0.00075,0.155555555555556,0.0070386122925528,0.148516943263003,1000
"105","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",6e-04,0.155555555555556,0.00708425055033026,0.148471305005225,1000
"106","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.006,NA,1000
"107","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00673333333333332,NA,1000
"108","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00643999999999998,NA,1000
"109","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00611428571428572,NA,1000
"110","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00628000000000004,NA,1000
"111","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00635000000000004,NA,1000
"112","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00652000000000006,NA,1000
"113","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.0072,NA,1000
