P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,15000,HardMaxWithRandom,0.22009399999999998,0.020999118659186376,0.020460610490071314,0.0068461133947234519,0.001518063727307962,0.017551862971431176,1000
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,1000,HardMaxWithRandom,0.37731000000000003,0.070942408030989307,0.057564553917555918,0.093999999999999903,0.099819837707742137,0.12990274971832108,1000
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,3000,HardMaxWithRandom,0.42464666666666662,0.046033439487496247,0.047471494650082935,0.093999999999999695,0.099819837707741929,0.12805602082137316,1000
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,5000,HardMaxWithRandom,0.46113200000000004,0.031874798556497781,0.037568620284717288,0.093999999999999778,0.099819837707741998,0.121317419766172,1000
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,7000,HardMaxWithRandom,0.47981999999999997,0.024769226671680303,0.031487651026179293,0.093999999999999848,0.099819837707742082,0.11557473480525732,1000
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,10000,HardMaxWithRandom,0.49376400000000004,0.018696862572952902,0.024111565150505099,0.094000000000000056,0.099819837707742318,0.11043032033050643,1000
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,12000,HardMaxWithRandom,0.50560916666666667,0.01521890556336172,0.020681268129759074,0.094000000000000125,0.099819837707742415,0.10730614636731174,1000
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,15000,HardMaxWithRandom,0.52297066666666658,0.012338932474536215,0.017380232134029418,0.094000000000000236,0.099819837707742498,0.10479054996618484,1000
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.063460000000000003,0.094381965713063884,0.084964518509679871,0.0072725249313562402,0.0065128908696351368,0.089340493559661699,1000
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,3000,HardMaxWithRandom,0.1106766666666667,0.08268346873281221,0.091412519239120957,0.0070337799346946225,0.0038295278465565272,0.080038587065966157,1000
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMaxWithRandom,0.14343800000000001,0.077935878822709859,0.0922816662390544,0.0069768966497904712,0.0032695920934078674,0.076736047567862689,1000
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,7000,HardMaxWithRandom,0.17457857142857144,0.075937182743022913,0.093131980050560878,0.0069467004276962448,0.0030501785099669525,0.075398518430281392,1000
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,10000,HardMaxWithRandom,0.21274100000000001,0.073040369404704514,0.092514599050568552,0.0069002497339251409,0.0028318511546894277,0.073276752526166569,1000
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,12000,HardMaxWithRandom,0.22642583333333338,0.071549108066447376,0.091891875927402236,0.0068847846672538231,0.0025397099477498641,0.072100433580314774,1000
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,15000,HardMaxWithRandom,0.24228866666666665,0.069598434738672013,0.091011603334740537,0.0067910333841958159,0.0016273521049502758,0.07032996430968888,1000
79,1,Heavy Tail,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.011639999999999998,0.15229245806108482,0.14972060299210957,0.018293783842230193,0.017577729974675962,0.15337161980242325,1000
