P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,9000,HardMaxWithRandom,0.49607679232076801,0.011728893326723673,0.011616276190215024,0.02681698990866797,0.02488231300041098,0.02843187856187385,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,10000,HardMaxWithRandom,0.55715548445155494,0.011088894627747717,0.011541083510789784,0.026820210851782919,0.024888735863531665,0.028499662763073787,100
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.034858914108589142,0.029764168441782451,0.022289755945728903,0.022575208571035264,0.021684420546109154,0.025451789782819662,100
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,3000,HardMaxWithRandom,0.12273412658734127,0.029744402358749832,0.02400570165798872,0.019956993740374039,0.020929384524911505,0.025778917050215944,100
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMaxWithRandom,0.20925667433256678,0.029413001494346769,0.024211747087611282,0.017865584770711769,0.020384559867278208,0.025944872833058307,100
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,7000,HardMaxWithRandom,0.29461373862613743,0.029330120483042229,0.024343556907010427,0.016382984145511231,0.019677517021019036,0.026527430424262411,100
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,9000,HardMaxWithRandom,0.37320587941205885,0.029320401632207994,0.024415560940741148,0.015244940476017313,0.019097590147048288,0.027015259697023362,100
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,10000,HardMaxWithRandom,0.41584321567843224,0.029303114651775292,0.024448097724758627,0.01460749564423636,0.018601912824553517,0.027148981137823641,100
46,9,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.017352664733526653,0.086562933778318266,0.072752169417730106,0.022691366500757464,0.047120636402725236,0.10108805383527804,100
38,9,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.062010598940105986,0.079993758636884113,0.078168414315050339,0.018593697644119788,0.04248047671072417,0.0967633053993079,100
