Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret,P2 Regret,Abs Delta Regret,Memory Size
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.2703333333333333,0.041923551171393597,0.0020557332115121027,0.039867817959881494,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.1864,0.041577253218884051,0.0023475909537856447,0.039229662265098407,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.843,0.017141162514828081,0.047452229299362943,0.030311066784534862,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.8886666666666667,0.0092460615153789252,0.045059880239521198,0.035813818724142271,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.6022,0.0087346396545998801,0.012719959778783421,0.0039853201241835407,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.788,0.02728426395939108,0.049528301886792525,0.022244037927401445,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.6146666666666667,0.018546637744034814,0.019247404844290814,0.00070076710025599939,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.5644,0.015326009922040992,0.010835629017447291,0.0044903809045937007,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.615,0.027886178861788794,0.048961038961039309,0.021074860099250515,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.205,0.027886178861788794,0.049182389937105025,0.021296211075316231,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.123,0.027886178861788794,0.049213226909923559,0.021327048048134765,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.767,0.030769230769231031,0.049356223175965795,0.018586992406734764,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.9223333333333333,0.011275749909649552,0.049356223175965795,0.038080473266316243,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.59,0.010728813559322141,0.049268292682925076,0.038539479123602935,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.895,0.019050279329609059,0.0071428571428571496,0.01190742218675191,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.41433333333333333,0.017497988736926932,0.004240182128628334,0.013257806608298598,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.2486,0.017497988736926932,0.0029012509981368169,0.014596737738790114,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.334,0.011227544910179627,0.049474474474474874,0.038246929564295248,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.778,0.010261353898886121,0.049474474474474874,0.039213120575588754,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.8668,0.0058029533917859305,0.049474474474474874,0.043671521082688944,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.592,0.017736486486486513,0.0012254901960784324,0.01651099629040808,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.7316666666666667,0.010956719817767748,0.0016770186335403742,0.0092797011842273742,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.439,0.010956719817767748,0.0028520499108734333,0.008104669906894315,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.8,0.039437500000000389,0.0030000000000000027,0.036437500000000386,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.4256666666666667,0.040093970242755857,0.0021183981427742287,0.037975572099981626,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.427,0.042365339578452926,0.0019895287958115143,0.040375810782641415,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.126,0.0087301587301587373,0.0017734553775743723,0.0069567033525843652,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.2613333333333333,0.0037627551020408142,0.0020306859205776141,0.0017320691814632001,10
