P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
260,161,Heavy Tail,ThompsonSampling,DynamicGreedy,400,HardMax,0.40592500000000004,0.072922686077020349,0.15578278175025842,0.04651785619799706,0.10503543268144826,0.18047719210219526,100
259,161,Heavy Tail,ThompsonSampling,DynamicGreedy,600,HardMax,0.40819722222222221,0.069465233938967252,0.15612330707904651,0.046131443266332846,0.10504561672077609,0.17993842212800978,100
257,161,Heavy Tail,ThompsonSampling,DynamicGreedy,800,HardMax,0.40892916666666662,0.067679612455001356,0.15635665183217648,0.045930469068543776,0.10506225555059009,0.17987485137045908,100
257,161,Heavy Tail,ThompsonSampling,DynamicGreedy,1000,HardMax,0.4103633333333333,0.066492701250543865,0.15670659421657424,0.045809332169559229,0.10508182515217654,0.1799119393664606,100
190,189,Heavy Tail,DynamicGreedy,DynamicEpsilonGreedy,200,HardMax,0.50984999999999991,0.055850416861067426,0.11773051229236965,0.057995266262118324,0.1075003818647826,0.10442034994527233,100
185,183,Heavy Tail,DynamicGreedy,DynamicEpsilonGreedy,400,HardMax,0.52041666666666664,0.053620974911098282,0.11632111586529427,0.054376848357785397,0.10500812722314153,0.1059144349959687,100
183,183,Heavy Tail,DynamicGreedy,DynamicEpsilonGreedy,600,HardMax,0.52443888888888879,0.052956810035667504,0.11598235767942638,0.052572432399222019,0.10431425318257531,0.10614855024871175,100
182,180,Heavy Tail,DynamicGreedy,DynamicEpsilonGreedy,800,HardMax,0.52773541666666668,0.053013947207249008,0.11607263843462101,0.051446233084341347,0.10376172865105629,0.10587759790785489,100
182,179,Heavy Tail,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMax,0.52893333333333337,0.052845862055396285,0.11609852239844333,0.050588797004080831,0.10319241715201483,0.10605543187799991,100
204,194,Heavy Tail,ThompsonSampling,ThompsonSampling,200,HardMax,0.47621666666666668,0.085873605809270795,0.15889882818723777,0.070719404409719494,0.14402693719325382,0.22225032801377245,100
203,194,Heavy Tail,ThompsonSampling,ThompsonSampling,400,HardMax,0.47615833333333329,0.07868096409634022,0.15956199866497833,0.063360059151283829,0.14559139137230381,0.22566805484154606,100
203,193,Heavy Tail,ThompsonSampling,ThompsonSampling,600,HardMax,0.47563888888888889,0.076220619020425928,0.16052108546356755,0.060340410573636448,0.14626240140809882,0.22757335636373741,100
203,193,Heavy Tail,ThompsonSampling,ThompsonSampling,800,HardMax,0.4754666666666667,0.074753229466941129,0.16108013834787868,0.058663412169364035,0.14676953293735706,0.22914661025190047,100
203,193,Heavy Tail,ThompsonSampling,ThompsonSampling,1000,HardMax,0.47541499999999992,0.073909937553544997,0.16141006020583254,0.057343116097601815,0.14702490266640264,0.22980598079894562,100
193,173,Heavy Tail,DynamicGreedy,DynamicGreedy,200,HardMax,0.49436666666666668,0.052042380366163217,0.11469976239566668,0.056696815741663686,0.10965644818405787,0.076310421483600621,100
188,170,Heavy Tail,DynamicGreedy,DynamicGreedy,400,HardMax,0.49527916666666671,0.050243213751306463,0.11337886689127646,0.055957595283083798,0.11002382728758013,0.076750954903847673,100
185,169,Heavy Tail,DynamicGreedy,DynamicGreedy,600,HardMax,0.49555277777777773,0.050845783332353747,0.11389161630242553,0.055328408232479857,0.10980094629927424,0.076589207028744596,100
185,164,Heavy Tail,DynamicGreedy,DynamicGreedy,800,HardMax,0.49563124999999997,0.050689083450146659,0.11399571846025572,0.056738006302241906,0.11217276793229135,0.078060317506821991,100
182,162,Heavy Tail,DynamicGreedy,DynamicGreedy,1000,HardMax,0.49526666666666663,0.052132381403346716,0.11588428663917498,0.056631920288299643,0.11218412032030833,0.079562351780976259,100
185,180,Heavy Tail,DynamicEpsilonGreedy,DynamicEpsilonGreedy,200,HardMax,0.48850000000000005,0.058425836056053546,0.10728219776442333,0.055448167021952904,0.09507448383693877,0.094937936247556226,100
183,176,Heavy Tail,DynamicEpsilonGreedy,DynamicEpsilonGreedy,400,HardMax,0.48458333333333331,0.055183208865617409,0.10516282722163775,0.051524505262848033,0.091091439461541815,0.098120487085883348,100
180,175,Heavy Tail,DynamicEpsilonGreedy,DynamicEpsilonGreedy,600,HardMax,0.4854666666666666,0.053900176425489409,0.10460634548045045,0.049782107688492859,0.090078631776217818,0.1010656159288545,100
180,175,Heavy Tail,DynamicEpsilonGreedy,DynamicEpsilonGreedy,800,HardMax,0.48578541666666658,0.052748855643516827,0.10375913097085215,0.048757108549132649,0.089394839587392999,0.10246150201472221,100
180,173,Heavy Tail,DynamicEpsilonGreedy,DynamicEpsilonGreedy,1000,HardMax,0.48570000000000002,0.051927448721088121,0.10337740316828234,0.047613429980406345,0.088932782908488439,0.10279129090620738,100
4,3,Heavy Tail,ThompsonSampling,DynamicEpsilonGreedy,200,HardMaxWithRandom,0.42323333333333335,0.084711588200187662,0.10730265599668713,0.069565327288629811,0.11115609075284633,0.11846994751213594,100
0,0,Heavy Tail,ThompsonSampling,DynamicEpsilonGreedy,400,HardMaxWithRandom,0.4248791666666667,0.069815641397105499,0.085452271805957408,0.060458160020207229,0.098428414651512267,0.099204409747626107,100
0,0,Heavy Tail,ThompsonSampling,DynamicEpsilonGreedy,600,HardMaxWithRandom,0.43205833333333338,0.058615887161202369,0.071813283193084596,0.053938184655102979,0.084961417492464025,0.084838423969037791,100
0,0,Heavy Tail,ThompsonSampling,DynamicEpsilonGreedy,800,HardMaxWithRandom,0.43650000000000005,0.050898827371432941,0.064400560243570854,0.050425441081889545,0.075586733295957886,0.07542880439227645,100
0,0,Heavy Tail,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.44284999999999985,0.044518406050910522,0.057486632237067639,0.04793233172261821,0.072002409567927528,0.06826579373684219,100
2,0,Heavy Tail,ThompsonSampling,DynamicGreedy,200,HardMaxWithRandom,0.403225,0.090210250682412424,0.11500903596322817,0.072175932824678699,0.13189165471596911,0.13323318658846603,100
0,0,Heavy Tail,ThompsonSampling,DynamicGreedy,400,HardMaxWithRandom,0.41218333333333335,0.07029959704457428,0.08814683856078892,0.063810973558939069,0.11803570305663205,0.11406403737723887,100
0,0,Heavy Tail,ThompsonSampling,DynamicGreedy,600,HardMaxWithRandom,0.42383888888888888,0.057289693742933627,0.072151424990519283,0.058171328357601436,0.10771790739896656,0.10063791057927182,100
0,0,Heavy Tail,ThompsonSampling,DynamicGreedy,800,HardMaxWithRandom,0.43274791666666668,0.050385673665048432,0.063518778297217138,0.05411268358483852,0.1024841581295229,0.092607396387526505,100
0,0,Heavy Tail,ThompsonSampling,DynamicGreedy,1000,HardMaxWithRandom,0.43604666666666653,0.044535527422004888,0.057550777957506599,0.051424435388813534,0.099222729774366955,0.085397618942978579,100
1,1,Heavy Tail,DynamicGreedy,DynamicEpsilonGreedy,200,HardMaxWithRandom,0.51129166666666659,0.068012468512145235,0.12378001746754114,0.064935507211200547,0.10541139323820729,0.094474083438305004,100
0,0,Heavy Tail,DynamicGreedy,DynamicEpsilonGreedy,400,HardMaxWithRandom,0.5216291666666667,0.058198163696535306,0.10938784234493429,0.05638513921417565,0.095190189315340998,0.082601126406650904,100
0,0,Heavy Tail,DynamicGreedy,DynamicEpsilonGreedy,600,HardMaxWithRandom,0.52966944444444441,0.05332408462236124,0.1020344603839652,0.051482569506296351,0.087682309064580258,0.076660326406647827,100
0,0,Heavy Tail,DynamicGreedy,DynamicEpsilonGreedy,800,HardMaxWithRandom,0.53897291666666669,0.050234844335984762,0.099220066383893996,0.048324226287925431,0.07801678330369316,0.072618816376679898,100
0,0,Heavy Tail,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.54478833333333332,0.047838893488299866,0.096983942888031222,0.045092689600938804,0.073777846993225912,0.069850085086114816,100
2,1,Heavy Tail,ThompsonSampling,ThompsonSampling,200,HardMaxWithRandom,0.51001666666666667,0.083697100710960259,0.11529288766171759,0.09004577556771437,0.11871292369879437,0.13356082399105881,100
