P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
23,25,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,5000,HardMax,0.50939944022391048,0.017200994823683396,0.015118363033090864,0.030566278671577067,0.023248530050902078,0.028608070081465049,100
2,2,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMax,0.097738504598160719,0.03082517613266569,0.023379781384868643,0.025436910793315112,0.020164517952835279,0.022657389619866686,10
2,2,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,3000,HardMax,0.26708996401439422,0.030326991210959379,0.023882960265524149,0.020410760247736429,0.019859856784577294,0.023792764008830368,10
1,2,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMax,0.43081647341063573,0.029701461660415214,0.024109935245525096,0.017210655696841094,0.018445266879227436,0.024781111608786301,10
14,10,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMax,0.096514994002399032,0.029159034005174011,0.023798438438864478,0.026680332804511826,0.020434553276672322,0.027638057521500666,25
10,10,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,3000,HardMax,0.27448380647740905,0.02912013709681641,0.024089479105432111,0.021697125271964081,0.020041535271286232,0.029886717824656562,25
7,8,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMax,0.44539144342263087,0.028481847165406395,0.024209842328601842,0.019333801043727027,0.019939375854687032,0.030914521701764956,25
30,23,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMax,0.093156337465014005,0.028774949601645141,0.021878045468215174,0.028876691670113235,0.019443897638634182,0.02055824989149875,100
28,20,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,3000,HardMax,0.2870771691323471,0.029304996477232476,0.022603689665808585,0.024291221016990525,0.019892565211545334,0.023385679596512114,100
27,19,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMax,0.48560735705717711,0.028724707356767014,0.023081807571421975,0.022339505771184213,0.020280977856088213,0.024150862724080131,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.094509396241503396,0.023373133951366021,0.012154678692364647,0.023291325474967716,0.019921064680724535,0.019968835943960872,10
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMaxWithRandom,0.30257017193122748,0.016462228062673209,0.011177849223432587,0.019700388359931237,0.019658727739607362,0.019401149896431314,10
